person_id,id,name,character,role
50375,tm3357,Bobby Hale,Lamplighter (uncredited),ACTOR
50376,tm3357,Joy Harington,Laura Pritchard (uncredited),ACTOR
50377,tm3357,Charles McNaughton,Wilkins (uncredited),ACTOR
50379,tm3357,Georgie Nokes,Boy (uncredited),ACTOR
50380,tm3357,Tarquin Olivier,Boy in Museum (uncredited),ACTOR
50382,tm3357,Arthur Stone,Durkin (uncredited),ACTOR
50384,tm3357,Eric Wilton,Valet (uncredited),ACTOR
50385,tm3357,Eustace Wyatt,Budge (uncredited),ACTOR
35503,tm3357,Al Ferguson,Bit Part (uncredited),ACTOR
47811,tm3357,Clive Morgan,Bit Part (uncredited),ACTOR
50387,tm3357,Elsie Prescott,Bit Part (uncredited),ACTOR
13439,tm3357,George Cukor,,DIRECTOR
10548,ts225761,Mel Blanc,Tom (voice)/Jerry (voice),ACTOR
46445,ts225761,William Hanna,Tom (voice),ACTOR
